NOME;CATEGORIA
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS
BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE ANLODIPINO + LOSARTANA POT�SSICA;ANTI-HIPERTENSIVOS
BESILATO DE ANLODIPINO + LOSARTANA POT�SSICA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
BESILATO DE ANLODIPINO + LOSARTANA POT�SSICA;ANTI-HIPERTENSIVOS
BESILATO DE ANLODIPINO + LOSARTANA POT�SSICA;ANTI-HIPERTENSIVOS
BESILATO DE ANLODIPINO+ATENOLOL;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
BESILATO DE ATRAC�RIO;RELAXANTES MUSCULARES CENTRAIS SIMPLES
BESILATO DE CISATRAC�RIO;
BESILATO DE CISATRAC�RIO;BLOQUEADOR NEUROMUSCULAR
BESILATO DE CISATRAC�RIO;BLOQUEADOR NEUROMUSCULAR
BESILATO DE LEVANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE LEVANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE LEVANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE LEVANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESILATO DE LEVANLODIPINO;ANTI-HIPERTENSIVOS SIMPLES
BESIVANCE;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
BESOMED;MEDICAMENTOS DINAMIZADOS COMPOSTOS
BESPONSA;ANTINEOPLASICO
BETACARE;ANTISSEPTICO
BETACORTAZOL;ANTIMICOTICOS PARA USO TOPICO
BETACRIS;BETABLOQUEADORES SIMPLES
BETADINE;ANTIVERTIGINOSOS
BETADINE XR;VASODILATADORES
BETAFACT;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
BETAFERON;IMUNOMODULADOR
BETAFERON;IMUNOMODULADOR
BETA-LONG;GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
BETALOR;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
BETAMETASONA;GLICOCORTICOIDES SISTEMICOS
BETAMETASONA;GLICOCORTICOIDES SISTEMICOS
BETAMETASONA;GLICOCORTICOIDES SISTEMICOS
BETAMETASONA;GLICOCORTICOIDES SISTEMICOS
BETAMETASONA;GLICOCORTICOIDES SISTEMICOS
BETAMETASONA;GLICOCORTICOIDES SISTEMICOS
BETAPRO;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
BETAPROSPAN;GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
BETASERC;VASODILATADORES
BETATRINTA;GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
BETEGLID;ANTIDIABETICOS
BETES;ANTIDIABETICOS
BETINA;ANTIVERTIGINOSOS
BETNELAN;GLICOCORTICOIDES SISTEMICOS
BETNOVATE;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
BETNOVATE N;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
BETOGENTA;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
BETOPTIC;ANTIGLAUCOMATOSOS
BETRAT;PRODUTOS A BASE DE VIT  B 12-ASSOCIACOES MEDICAMENTOSAS
BETRICORT;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
BETRIX;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
BEVESPI AEROSPHERE�;ADREN�RGICOS, PARA INALA��O
B�VITER;MONOVITAMINAS EXCETO VITAMINA K
BEXAI;ANTINFLAMATORIOS ANTIREUMATICOS
BEXETON;GLICOCORTICOIDES SISTEMICOS
BEXSERO;VACINAS
BEXTRA IM/IV;ANTINFLAMATORIOS
BEZAFIBRATO;ANTILIPEMICOS
BEZAFIBRATO;ANTILIPEMICOS
BEZAFIBRATO;ANTILIPEMICOS
BEZAFIBRATO;ANTILIPEMICOS
BEZAFIBRATO;ANTILIPEMICOS
BHENA;ANTI-HIPERTENSIVOS SIMPLES
BIALERGE;PRODUTO P.TERAPIA SINTOMATICA DA GRIPE
BIALU;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
BIALUDEX;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
BIANCORT;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO
BIAT�S;OUTROS MEDICAMENTOS ANTIASMATICOS
BIBAG;PRODUTOS PARA DIALISE
BICALUTAMIDA;ANTINEOPLASICO
BICALUTAMIDA;ANTINEOPLASICO
BICALUTAMIDA;ANTINEOPLASICO
BICARBONATO DE S�DIO;MEDICACAO PARA TRATAMENTO DA ACIDOSE METABOLICA
BICARBONATO DE S�DIO;MEDICACAO PARA TRATAMENTO DA ACIDOSE METABOLICA + PRODUTOS PARA TERAPIA DE INTOXICACOES
BICARBONATO DE S�DIO;REIDRATANTES PARENTERAIS
BICARBONATO DE S�DIO;ELETROLITOS SIMPLES
BICARBONATO DE S�DIO - FARMACE;MEDICACAO PARA TRATAMENTO DA ACIDOSE METABOLICA
BICARBONATO DE S�DIO 8,4 %;CONCENTRADOS PARA HEMODI�LISE
BICERTO;ANTIINFLAMAT�RIOS E ANTIREUM�TICOS
BICERTO IV;ANTIINFLAMAT�RIOS E ANTIREUM�TICOS
BICONCOR;DIURETICOS ASSOCIADOS A BETABLOQUEADORES
BIENN DIRECT;ANTIEMETICOS E ANTINAUSEANTES
BIKTARVY;ANTIINFECCIOSOS PARA USO SIST�MICO + ANTIVIRAIS DE A��O DIRETA + ANTIVIRAIS PARA USO SIST�MICO + ASSOCIA��ES DE ANTIVIR�TICOS PARA O TRATAMENTO DE INFEC��ES POR HIV
BILASTINA;ANTI-HISTAMINICOS SISTEMICOS
BIMAGAN;ANTIGLAUCOMATOSOS
BIMAPROST;ANTIGLAUCOMATOSOS
BIMATOPROSTA;ANTIGLAUCOMATOSOS
BIMATOPROSTA;ANTIGLAUCOMATOSOS
BIMATOPROSTA;ANTIGLAUCOMATOSOS
BIMATOPROSTA;ANTIGLAUCOMATOSOS
BIMATOPROSTA;ANTIGLAUCOMATOSOS
BIMATOPROSTA;ANTIGLAUCOMATOSOS
BIMONY;ANTIGLAUCOMATOSOS
BINAV;ANTIRETROVIRAL
BINOSPAN COMPOSTO;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS
BIO - VAGIN;PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS
BIO E;VITAMINAS E SUPLEMENTOS MINERAIS
BIO MANGUINHOS INFLIXIMABE;ANTINFLAMATORIOS
BIOARGI-C;VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS
BIO-C;MONOVITAMINAS EXCETO VITAMINA K
BIO-C + ZINCO;VITAMINAS E SUPLEMENTOS MINERAIS
BIOEZULEN;CITOSTATICOS ALQUILANTES
BIOFENAC;ANTINFLAMATORIOS
BIOFLAC;ANTINFLAMATORIOS
BIOFLADEX;ANTINFLAMATORIOS
BIOFLAN;AGENTES ANTI-INFLAMAT�RIOS + FITOTERAPICO SIMPLES
BIOFOR C;NEUROTONICO
BIOFORT�NICO;ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS
BIOGINKGO BIONATUS;FITOTERAPICO SIMPLES + VASODILATADORES CEREBRAIS
BIOGLICO;AGENTES DIAGNOSTICOS RADIOATIVOS
BIOGRIPE;PRODUTO P.TERAPIA SINTOMATICA DA GRIPE
BIOGRIPE;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE
BIOHEPATON;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
BIOMAG;ANOREXICOS SIMPLES
BIO-MANGUINHOS ALFATALIGLICERASE;ENZIMA PARA REPOSI�AO
BIO-MANGUINHOS BETAINTERFERONA 1A;IMUNOMODULADOR
BIO-MANGUINHOS ETANERCEPTE;ANTINFLAMATORIOS
BIO-MANGUINHOS TRASTUZUMABE;AGENTES ANTINEOPL�SICOS + ANTICORPOS MONOCLONAIS
BIOMATROP;HORMONIO RECOMBINANTE DO CRESCIMENTO HUMANO
BIOSENG;PSICOANALETICOS
BIOSTATE;DERIVADOS DO SANGUE E SUBSTITUTOS
BIOTIFENO;ANTINFLAMATORIOS
BIOTOSS EDULITO;EXPECTORANTES
BIOTOSS XAROPE;BRONCODILATADORES + EXPECTORANTES + FITOTERAPICO SIMPLES
BIOVICERIN;OUTROS COADJUVANTES DO TRATAMENTO DA DIARREIA
BIOVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
BIOVITA ZINCO;POLIVITAMINICOS COM MINERAIS
BIPHOZYL;PRODUTOS PARA HEMODIALISE
BIPROSLAM;GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
BIQUIZ;ANTIPSICOTICOS
BISALAX;LAXANTES
BISMU-JET;ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
BISOLPHAR;EXPECTORANTES BALSAMICOS E MUCOLITICO
BISOLVON;EXPECTORANTES
BISOPRO-GRAN;BETABLOQUEADORES SIMPLES
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS PRODUTOS COM ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS PRODUTOS COM ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
BISURAN;EXPECTORANTES SIMPLES
BIVOLET;ANTI-HIPERTENSIVOS
BLAUBIMAX;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
BLAUIMUNO;IMUNOGLOBULINAS
BLAZTERE;SUPRESSORES DA REABSORCAO OSSEA
BLEU PATENTE V;CONTRASTES RADIOLOGICOS
BLINCYTO;ANTINEOPLASICO
BLUDERM;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
BLUMEL HEDERA;EXPECTORANTES SIMPLES
BOLDINE;COLAGOGOS E COLERETICOS
BOLDO BELFAR;FITOTERAPICO SIMPLES
BOLDO KLEIN;COLAGOGOS E COLERETICOS
BOLDOVITA;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
BOLT CAPS;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO
BOMVERM;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
BONAGRAN;SUPRESSORES DA REABSORCAO OSSEA
BONALEN;SUPRESSORES DA REABSORCAO OSSEA
BONAR;ANTIBIOTICOS ANTINEOPLASICOS
BONECAL D;VITAMINAS E SUPLEMENTOS MINERAIS
BONEPREV;SUPRESSORES DA REABSORCAO OSSEA
BONVIVA;SUPRESSORES DA REABSORCAO OSSEA
BORTEZOMIBE;ANTINEOPLASICOS CITOTOXICOS
BORTEZOMIBE;ANTINEOPLASICOS CITOTOXICOS
BORTEZOMIBE;ANTINEOPLASICOS CITOTOXICOS
BORTEZOMIBE;ANTINEOPLASICOS CITOTOXICOS
BORTEZOMIBE;ANTINEOPLASICOS CITOTOXICOS
BORTYZ;ANTINEOPLASICOS CITOTOXICOS
BOSENTANA;ANTI-HIPERTENSIVOS
BOSENTANA;ANTI-HIPERTENSIVOS
BOSENTANA;ANTI-HIPERTENSIVOS
BOSENTANA;ANTI-HIPERTENSIVOS
BOTOX;AGENTE PARALISANTE NEUROMUSCULAR
BOTULIFT;AGENTE PARALISANTE NEUROMUSCULAR
BOTULIM;AGENTE PARALISANTE NEUROMUSCULAR
BOZORED;ANTINEOPLASICOS CITOTOXICOS
BRAMICAR;ANTI-HIPERTENSIVOS
BRAMICAR HCT;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
BRAMITOB;AMINOGLICOSIDEOS
BRANTA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
BRASART;ANTI-HIPERTENSIVOS SIMPLES
BRASART BCC;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
BRASART HCT;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
BRAVAN;ANTI-HIPERTENSIVOS SIMPLES
BRAVAN DUO;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
BRAVAN HCT;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
BRAVITAN;ANTIANEMICOS
BRECILA;ANTIBIOTICOS ANTINEOPLASICOS
BRENZYS;ANTINFLAMATORIOS
BREVIBLOC;BETABLOQUEADORES SIMPLES
BREVIBLOC DILU�DO;BETABLOQUEADORES SIMPLES
BREXIN;ANALGESICOS NAO NARCOTICOS
BRIDION;OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
BRILINTA;ANTIAGREGANTE PLAQUETARIO
BRILIV;EXPECTORANTES + FITOTERAPICO SIMPLES
BRINEURA;ENZIMA PARA REPOSI�AO
BRINTELLIX;ANTIDEPRESSIVOS
BRITENS;ANTIGLAUCOMATOSOS
BRIVLERA;OUTROS ANTIEPIL�TICOS
BRIVLERA;OUTROS ANTIEPIL�TICOS
BRIVLERA;OUTROS ANTIEPIL�TICOS
BROMAZEPAM;ANSIOLITICOS SIMPLES
BROMAZEPAM;ANSIOLITICOS SIMPLES
BROMAZEPAM;ANSIOLITICOS SIMPLES
BROMAZEPAM;ANSIOLITICOS SIMPLES
BROMAZEPAM;ANSIOLITICOS SIMPLES
BROMAZEPAM;ANSIOLITICOS SIMPLES
BROMAZEPAM;ANSIOLITICOS SIMPLES
BROMAZEPAM;ANSIOLITICOS SIMPLES
BROMAZEPAM (PORTARIA 344/98 - LISTA B1);ANSIOLITICOS SIMPLES
BROMELIN;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES
BROMETO DE  N-BUTIL ESCOPOLAMINA + DIPIRONA SODICA;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BROMETO DE IPRATROPIO;BRONCODILATADORES
BROMETO DE IPRATROPIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PIO;BRONCODILATADORES
BROMETO DE IPRATR�PRIO;BRONCODILATADORES
BROMETO DE N-BUTILESCOPOLAMINA;ANTIESPASMODICOS
BROMETO DE N-BUTILESCOPOLAMINA + DIPIRONA;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BROMETO DE PANCUR�NIO;BLOQUEADOR NEUROMUSCULAR
BROMETO DE PINAVERIO;ANTIESPASMODICOS
BROMETO DE PINAV�RIO;ANTIESPASMODICOS
BROMETO DE PINAV�RIO;ANTIESPASMODICOS
BROMETO DE PINAV�RIO;ANTIESPASMODICOS
BROMETO DE PINAV�RIO;ANTIESPASMODICOS
BROMETO DE PIPECURONIO;BLOQUEADOR NEUROMUSCULAR
BROMETO DE ROCURONIO;BLOQUEADOR NEUROMUSCULAR
BROMETO DE ROCUR�NIO;BLOQUEADOR NEUROMUSCULAR
BROMETO DE ROCUR�NIO;BLOQUEADOR NEUROMUSCULAR
BROMETO DE ROCUR�NIO;BLOQUEADOR NEUROMUSCULAR
BROMEXPEC;EXPECTORANTES
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS
BROMIDRATO DE DARIFENACINA;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
BROMIDRATO DE FENOTEROL;BRONCODILATADORES
BROMIDRATO DE FENOTEROL;BRONCODILATADORES
BROMIDRATO DE FENOTEROL;BRONCODILATADORES
BROMIDRATO DE FENOTEROL;BRONCODILATADORES
BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
BROMIFEN;ANTIASMATICOS
BROMIGAN;ANTIGLAUCOMATOSOS
BROMIL;ANTITUSSIGENOS-ASSOCIACOES MEDICAMENTOSAS
BROMOFORMIO + ASSOCIA��ES;EXPECTORANTES SIMPLES
BROMOGEX;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEM�TICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES
BROMOXON;ANSIOLITICOS SIMPLES
BROMUC;EXPECTORANTES BALSAMICOS E MUCOLITICO
BRONCATAR;EXPECTORANTES
BRONCHO-VAXOM;IMUNOMODULADOR
BRONCOLEX;BRONCODILATADORES
BRONCOMUCOL;OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO
BRONDELIX;EXPECTORANTES + FITOTERAPICO SIMPLES
BRONDILAT;OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO
BRONFILIL;OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO
BRONQTRAT;EXPECTORANTES BALSAMICOS E MUCOLITICO
BRONQUIMUCIL;EXPECTORANTES SIMPLES
BRONQUITOSS;BRONCODILATADORES
BRONQUIVITA;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES
BRONTEK;BRONCODILATADORES
BRONXINA;EXPECTORANTES SIMPLES
BRONXOL;EXPECTORANTES
BROZOVIC;EXPECTORANTES BALSAMICOS E MUCOLITICO
BRYOPHYLLUM ARGENTO CULTUM;MEDICAMENTOS DINAMIZADOS DE COMPONENTE �NICO
B-SUPRIN;POLIVITAMINICOS COM MINERAIS
B-TABLOCK;ANTIGLAUCOMATOSOS
BUCLINA;ESTIMULANTES DO APETITE
BUDECORT AQUA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
BUDESONIDA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
BUENE;ANTIDEPRESSIVOS
BULANSI;MACROLIDEOS
BUONA;COADJUVANTE NO TRATAMENTO DO CLIMATERIO
BUP;ANTIDEPRESSIVOS
BUPICAN;ANESTESICOS LOCAIS
BUPIUM;ANTITABAGICO
BUPIUM XL;ANTIDEPRESSIVOS
BUPROVIL;ANALGESICOS NAO NARCOTICOS
BUPSTESIC;ANESTESICOS LOCAIS
BUPSTESIC COM VASO;ANESTESICOS LOCAIS
BUSCODUO;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BUSCOFEM;ANALGESICOS NAO NARCOTICOS
BUSCOPAN;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS
BUSCOPAN COMPOSTO;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BUSCOPLEX COMPOSTO;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BUSCOVERAN COMPOSTO;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BUSILVEX;ANTINEOPLASICOS CITOTOXICOS
BUSONID;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
BUTACID;ANTINFLAMATORIOS ANTIREUMATICOS
BUTALAB;BRONCODILATADORES
BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS
BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS
BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS
BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS
BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS
BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS
BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS
BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA MONOIDRATADA;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA S�DICA;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA S�DICA;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BUTILBROMETO DE ESCOPOLAMINA+DIPIRONA SODICA;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
BUTILBROMETO DE ESCOPOLAMINA+DIPIRONA SODICA;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
B-VIT;POLIVITAMINICOS SEM MINERAIS
BYCAL;ANTINEOPLASICO
CAAB;ANTINEOPLASICO
CABAZITAXEL;ANTINEOPLASICOS CITOTOXICOS
CABAZITAXEL;ANTINEOPLASICO
CABAZITAXEL;ANTINEOPLASICO
CABAZRED;ANTINEOPLASICOS CITOTOXICOS
CABEREDUX;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
CABERGOLINA;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES
CABERGOLINA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
CABERGOLINA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
CABERGOLINA;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES
CABERGOLINA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
CABERGOLINA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
CABERGOLINA;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
